region,retour,situation,pus,groscolis,repere,adresse,map,longlat,statut
Région de l'Agnéby-Tiassa,Oui,COD,Agboville,Oui,Quartier commerce,"Quartier commerce, non loin du commissariat de police d'Agboville",https://bit.ly/3bT5UPh,"5.9318929,-4.2202134",Live
Région de la Nawa,Oui,COD,Buyo,Oui,Mairie,En face de la mairie de Buyo,https://bit.ly/330O5ZA,"6.2761389,-6.997272",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,Prepaid,Yopougon Abobo Doumé,Non,Yopougon Abobo Doumé - Maquis le temple,Non loin du maquis le temple en allant au lycée municipal attecoubé,http://bit.ly/3qKHiNj,"5.3108611,-4.0385776",Close
Région du Grands Ponts,Oui,COD,Jacqueville,Oui,Voie sous prefecture,Au sein de l'agence Canal+ Voie de la sous préfecture.,https://bit.ly/3x0VyG0,"5.2068417,-4.4237028",Live
Région du Haut-Sassandra,Oui,Prepaid,Gonate,Oui,Gendarmerie,Après le poste de la Gendarmerie  Face à l'église CMA,https://bit.ly/3nl5rdb,"6.9057778,-6.2490498",Close
Région de La Mé,Oui,COD,Yakassé Attobrou,Oui,Yakassé Attobrou,Non loin de la nouvelle pharmacie,https://bit.ly/3xWiXcf   ,"6.1815556,-3.6560498",Live
Région de l'Iffou,Oui,Prepaid,Prikro,Oui,Quartier Anokro,Quartier Anokro en face de la chapelle,https://bit.ly/3oBcYVK,"7.6473056,-3.9996609",Close
Région de l'Iffou,Oui,Prepaid,Ouellé,Oui,Ouellé,En face du presbytère résidence molo-molo,https://bit.ly/3498TyA,"7.2908889,-4.0126887",Live
Région du Gbêkê,Oui,COD,Bouake,Oui,Bouaké-Quartier Djamourou,"Non loin du marché de gros de bouaké, à côté de l'agence SGCI",https://bit.ly/2QClTd2,"7.6954167,-5.0301054",Live
Région du Gôh,Oui,COD,Gagnoa,Oui,Gagnoa-Quartier commerce,"Situé en face de la CELPAID,non loin de IVOGRAIN",https://bit.ly/3fvkxJC,"6.1283611,-5.9444387",Live
Région du Cavally,Oui,Prepaid,Taï,Oui,Eglise Sainte Famille,En face de l'église catholique sainte famille,https://bit.ly/3ywOQIH,"5.8759683,-7.4628142",Close
Région du Tonkpi,Oui,Prepaid,Sipilou,Oui,Centre culturel,Derrière le centre culturel de Sipilou,https://bit.ly/3wgQ8pc,"7.8662471,-8.1029894",Close
Région du Haut-Sassandra,Oui,COD,Daloa-Quartier soleil,Oui,Brigade ville,"Derrière la brigade ville , non loin de l'ancien bâtiment de DIAMOND BANK",https://bit.ly/3faZ0Hk,"6.8819555,-6.4902058",Live
Région de La Mé,Oui,COD,Agou,Oui,Marché Agou,Non loin du Marché à côté de la banque CECKA,https://bit.ly/405XUSU,"5.9829046,-3.9454862",Live
Région du Gôh,Oui,COD,Ouragahio,Oui,Quartier Djetro,Quartier Djetro; non loin de la boulangerie WEND KOUNI,https://bit.ly/3yCEKpB,"5.9829046,-3.9454862",Close
Région du Worodougou,Oui,Prepaid,Dianra,Oui,Voie pharmacie de Dianra,"Non loin du SUPER MARCHE SORO ZIE, sur la voie de la pharmacie de Dianra",https://bit.ly/3yAKsZ3,"5.9829046,-3.9454862",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,Prepaid,Yopougon-Niangon,Non,Yopougon-Niangon à Gauche,1er carrefour après la station petroci en allant a SUPECO,https://bit.ly/3hOwJId,"5.3237778,-4.1086609",Close
Région du Moronou,Oui,Prepaid,Kotobi,Oui,OCPV,En face de 'OCPV,urlr.me/83nR4,"6.6967222,-4.1318831",Close
Région du Tonkpi,Oui,COD,Man-Ageroute,Oui,Ageroute,"Ageroute, Carrefour Sicta, non loin du carrefour Capen",https://bit.ly/3gDmnJU,"7.4079722,-7.5226887",Live
Région du Poro,Oui,COD,Korhogo-Quartier Haoussabougou,Oui,Haoussabougou,Non loin de l'école de Police,bit.ly/3xtr1zL,"9.4788144,-5.6447692",Live
Région de San-Pédro,Oui,COD,San Pedro-Quartier Colas,Oui,Ancien Lavage,"Ancien lavage, non loin du carrefour CP1",https://bit.ly/3COnyPQ,"4.7727608,-6.6707729",Live
Région du Moronou,Oui,Prepaid,M'batto,Oui,Quartier commerce,"Quartier commerce, en face du restaurant la Paillote",urlr.me/5c9jC,"6.4695833,-4.3628554",Close
Région du Sud-Comoé,Oui,COD,GrandBassam Station Shell,Oui,Coqivoire,Rue-MOCKEY Proche de coqivoire,https://urlz.fr/lGpQ,"5.210500,-3.735194",Live
Région de la Nawa,Oui,Prepaid,Oupoyo,Oui,Sur la voie principale,A côté de la pharmacie Sainte Delphine d'Oupoyo ,https://bit.ly/3JEmiBw,"5.5861808,-6.595828,17",Live
Région du Gontougou,Oui,Prepaid,Sandegue,Oui,Près du centre culturel,En face de la mosquée,https://bit.ly/3I4HJvd,"7.953500,-3.583667",Close
Région de l'Indénié-Djuablin,Oui,COD,Abengourou HKB,Oui,HKB sur la voie principale,En face de l'hôtel relais Agni et maquis Soblack,https://bit.ly/3JR8TGH,"6.730722,-3.507944",Live
Région du Tchologo,Oui,Prepaid,Kong,Oui,Derrière le 2e camp militaire,"En face de l'agence MTN, non loin de la préfecture de Kong",https://bit.ly/3o7ivoi,"9.150694,-4.613306",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Abobo BC,Non,Près du camp commando,Juste à côté de l'Eglise Jésus-Christ des Saints de derniers jours ,https://bit.ly/3r5G8iL,"5.442722,-4.020278",Live
Région du Tchologo,Oui,Prepaid,Niellé,Oui,Quartier goudron,près de la voie qui mène à Pôgô,https://bit.ly/3G3YZPu,"10.203194,-5.618222",Close
District autonome de Yamoussoukro,Oui,COD,Yamoussoukro - Étage Diaby,Oui,Étage Diaby,"Après la pharmacie de la Fondation, sur le même alignement que la COOPEC",bit.ly/3lB8QFm,"6.792972,-5.269861",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,AboboPK18 Station    ,Non,Abobo PK18 cité Concorde, En face de la pharmacie ST Alexandre, https://bit.ly/3IIq10l,"5.450861, -4.049278",Close
Région du Gbêkê,Oui,COD,Bouake Gonfreville,Oui,Quartier Gonfreville,Entre la cour d'appel et la SODECI,https://bit.ly/3IxstX3,"7.7233333,-5.0540278",Live
Région du Gbêkê,Oui,COD,Bouake Kennedy,Oui,Quartier Kennedy, Non loin de l'église Moukassa,https://bit.ly/3wbHoE0,"7.6906111,-5.0110278",Live
District autonome de Yamoussoukro,Oui,COD,Yakro Morofe,Oui,Quartier Morofe,Pharmacie Morofé juste à côté du maquis PLEIN AIR, https://bit.ly/3tY38Ak,"6.8448889,-5.2948056",Live
Région du Lôh-Djiboua,Oui,COD,Divo Dialogue,Oui,Quartier  Bribore,Dialogue 2 Entre l'église catholique Christ roi et la grande mosqué,https://bit.ly/3LD5hZq,"5.8275047,-5.3658141",Live
Région du Lôh-Djiboua,Oui,COD,Bettié,Oui, Quartier Agnikro, Juste à côté de la banque populaire,https://bit.ly/36ZJ8G5,"6.0734167,-3.4086944",Live
Région de l'Indénié-Djuablin,Oui,COD,Daoukro,Oui,Quartier Anokro,Quartier Anokro en face de la chapelle, https://bit.ly/3oBcYVK ,"7.6473056,-3.9996609",Live
Région du Gbêkê,Oui,COD,Bouaké Belle Ville,Oui,Quartier Belleville,Près de la pharmacie Belleville,https://urlz.fr/hnSa,"7.7150324,-5.0024449",Live
Région du Gontougou,Oui,COD,Bondoukou station,Oui,Quartier Commerce,"Au rond point du musée, juste en face d'Advans banque", https://bit.ly/3DYgSzU,"8.04225,-2.7976389",Live
Région du Gbêkê,Oui,COD,Bouake Dares Salam,Oui,Quartier Dar Es Salam,Abbatoire a 200m en allant au corridor Nord, https://bit.ly/3i9PCUR,"7.7299068,-5.0295521",Live
Région du Poro,Oui,COD,Korhogo Tchekelenzo,Oui,Quartier Tchekelenzo,"Face du Dispensaire de Tchekelenzo, situé à proximité du collège moderne privé de LONYA",https://bit.ly/3aEeUKf,"9.4612424,-5.6250544",Close
Région du Tchologo,Oui,COD,Ferkessédougou Douane,Oui,Quartier Douane,"Sur le même bâtiment que le  restaurant FAST FOOD, à 100m de l'hôtel PELICAN",https://bit.ly/3KKZG2m,"9.6168056,-5.1889444",Live
Région du Guémon,Oui,COD,Duekoué,Oui, Petit Marché,Carrefour Tokpa non loin de la boulangerie Aoua Touré,https://bit.ly/3Ags6jv,"6.7383611,-7.3543889",Live
Région du Poro,Oui,COD,Korhogo Nouveau Quartier,Oui,Nouveau Quartier,75 mètres après le lycée SANOGO à droite en allant à KAPELE,https://bit.ly/3y3tAuq,"9.4525,-5.66275",Live
Région de San-Pédro,Oui,COD,San-Pedro Zimbabwe,Oui,Quartier Zimbabwe,carrefour Manzan immeuble Gris,https://bit.ly/3RMWvfm,"4.7403056,-6.6490833",Live
Région de San-Pédro,Oui,COD,San-Pedro Dafci,Oui,Quartier Dafci,à 50 mètres de la pharmacie cosmos non loin de la station shell,https://bit.ly/3ImHPiK,"5.0381962,-5.8947853,9",Live
Région de San-Pédro,Oui,COD,San-Pedro Zimbabwe,Oui,Jules Ferry,"Carrefour Manzan, à côté de l'école catholique",https://bit.ly/3RMWvfm,"4.7403056,-6.6490833",Live
Région du Gôh,Oui,COD,Gagnoa Quartier Dioulabougou,Oui,Quartier DIoulabougou,"Quartier DIoulabougou, Immeuble Bamba",https://bit.ly/3e9J9Lv,"6.1423889,-5.9516389",Live
Région de la Nawa,Oui,COD,Soubre Quartier Gabon,Oui,Quartier Gabon,Entre le carrefour 07 et l'orphelinat Gabon 07,https://bit.ly/3SJ2WjV,"5.7736111,-6.5948611",Live
Région de la Nawa,Oui,COD,Grand-Zattry,Oui,Grand marché de Grand-Zattry,En face du Grand marché de Grand-Zattry,https://bit.ly/3CcyGXh,"6.1154444,-6.5400278",Live
Région du Gôh,Oui,COD,Gagnoa Quartier Barihio,Oui,Quartier Barihio," En face de l'ancien SOLIBRA,à 100m de la boulangerie de Barihio",https://bit.ly/3e9J9Lv,"6.1423889,-5.9516389",Close
Région du Tonkpi,Oui,COD,Man- Quartier Libreville,Oui,Quartier Libreville,Non loin du centre de santé Libreville,https://bit.ly/3VeX8jM,"7.41525,-7.5564444,17",Live
Région du Haut-Sassandra,Oui,COD,Daloa Balouzon,Oui,Balouzon,Non loin de l'hôtel Imans,https://bit.ly/3TiJ1rV,"6.9001667,-6.4101565",Live
Région du Haut-Sassandra,Oui,COD,Daloa Abattoir 2,Oui,Quartier Abattoir 2,En face du 5e arrondissement,https://bit.ly/3EIu26h,"6.8604444,-6.4350278",Live
Région de La Mé,Oui,COD,Agou Station,Oui,Non loin du marché en face de la mairie et à coté du CECKA un établissement financier,Agou2,https://goo.gl/maps/oR4P87dY3inUTMF49,"5.9828999,-3.9454868",Live
District autonome de Yamoussoukro,Oui,COD,Djekanou  Station,Non,En face de la Sous-préfecture et à côté de la pharmacie ste Marie,Djekanou quartier Fonctionnaire,https://maps.app.goo.gl/UnmziEfh5wuTS1A77,"6.4699125,-5.1138594",Live
Région de San-Pédro,Oui,COD,San Pedro Station,Oui,"En face de la pharmacie sainte claudine, a côté de l'église méthodiste du bardot non loin de la CNPS",SAN PEDRO BARDOT,https://goo.gl/maps/M5eyCGkEbMmXMzv17,"4.7712222,-6.6491944,17",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Abobo,Oui,"Mosquée Hadja Fadiga (En venant de la gendarmerie nationale, non loin du complexe hôtelier le kizo)",Abobo,https://www.google.com/maps/place//data=!4m2!3m1!1s0xfc1957e3ed35c17:0xde9f3233932acc89?hl=fr,"5.4121283,-4.0183746",Live
La région du Poro,Oui,COD,Sirasso,Oui,Solokaha (non loin de la coopec en face de la station service),Sirasso,"https://www.google.com/maps?q=9.272915,-6.095736","9.272915,-6.095736",Live
La région du Béré,Oui,COD,Tieningboue,Oui,"Quartier Soliba, non loin du collège LONI, à proximité de la nouvelle pharmacie BERE",Tieningboue,"https://www.google.com/maps?q=8.182831,-5.717364","8.182831,-5.7199389",Live
Région du Haut-Sassandra,Oui,COD,Bazra Nattis,Oui,En face du marché(Non loin de l'antenne de téléphonie MOOV),Bazra Nattis,https://goo.gl/maps/unyP6guzKhB2vGYP9,"7.6087778,-6.5205",Close
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Bingerville,Oui,"Carrefour syndicat, non loin de la pharmacie Marina ",Bingerville,https://goo.gl/maps/KFU9nWaDW5ZH9PZ48,"5.36628,-3.908837",Live
